R_in_CGS,V_in_CGS,Bo,We,Oh,Alpha Coefficient of restitution,Center Coefficient of restitution,Contact time ND,Contact time CGS,Min north pole height ND,Min north pole height CGS,Time min north pole height ND,Time min north pole height CGS,clea radius ND,Max radius CGS,Time of max radius ND,Time of max radius CGS,Max contact radius ND,Max contact radius CGS,Time max contact radius ND,Time max contact radius CGS,Max radial projection ND,Max radial projection CGS,Time max radial projection ND,Time max radial projection CGS,Min side height ND,Min side height CGS,Time min side height ND,Time min side height CGS
nothing,nothing,0.0,1.3e-6,0.0,0.9577124466523017,0.9577124466523017,7.125443627560351,7.125443627560351,1.996547487851688,1.996547487851688,3.3153372115745334,3.3153372115745334,1.0002294216384302,1.0002294216384302,5.992460503660401,5.992460503660401,0.17397156770929503,0.17397156770929503,5.696366065051477,5.696366065051477,0.9994444975744902,0.9994444975744902,3.1112928575072436,3.1112928575072436,1.9967933122347472,1.9967933122347472,3.6114316501834574,3.6114316501834574
nothing,nothing,0.0,1.6e-6,0.0,0.9577124403031707,0.9577124403031707,6.801734163588938,6.801734163588938,1.9963625762265875,1.9963625762265875,3.1634545720808367,3.1634545720808367,1.0002545210574278,1.0002545210574278,5.840577864166704,5.840577864166704,0.17397303113204673,0.17397303113204673,5.544483425557781,5.544483425557781,0.999465987614074,0.999465987614074,2.959410218013547,2.959410218013547,1.9966352943645622,1.9966352943645622,3.4580148426140664,3.4580148426140664
nothing,nothing,0.0,2.0e-6,0.0,0.9577124426146086,0.9577124426146087,6.525583909964034,6.525583909964034,1.996141247022809,1.996141247022809,3.0161744368142216,3.0161744368142216,1.000284562948349,1.000284562948349,5.693297728900089,5.693297728900089,0.17397465458915,0.17397465458915,5.3972032902911655,5.3972032902911655,0.9994917094479528,0.9994917094479528,2.8121300827469318,2.8121300827469318,1.9964461551081736,1.9964461551081736,3.310734707347452,3.310734707347452
nothing,nothing,0.0,2.6e-6,0.0,0.9577124451708181,0.9577124451708182,6.261707000944682,6.261707000944682,1.9958473748284913,1.9958473748284913,2.8627576292448307,2.8627576292448307,1.0003244513719505,1.0003244513719505,5.539880921330699,5.539880921330699,0.17397680756478834,0.17397680756478834,5.243786482721775,5.243786482721775,0.9995258618735917,0.9995258618735917,2.658713275177541,2.658713275177541,1.9961950232912025,1.9961950232912025,3.1588520678537546,3.1588520678537546
nothing,nothing,0.0,3.2e-6,0.0,0.9577124406146895,0.9577124406146895,6.07607266378572,6.07607266378572,1.995585870553904,1.995585870553904,2.755365863946257,2.755365863946257,1.0003599470898004,1.0003599470898004,5.432489156032125,5.432489156032125,0.1739788454786173,0.1739788454786173,5.136394717423201,5.136394717423201,0.9995562532062401,0.9995562532062401,2.5513215098789677,2.5513215098789677,1.9959715522327701,1.9959715522327701,3.0499261344794872,3.0499261344794872
nothing,nothing,0.0,4.1e-6,0.0,0.9577124435266369,0.957712443526637,5.875096645869817,5.875096645869817,1.9952360321064004,1.9952360321064004,2.6403032582692143,2.6403032582692143,1.000407431999214,1.000407431999214,5.317426550355082,5.317426550355082,0.17398140289313496,0.17398140289313496,5.021332111746158,5.021332111746158,0.9995969097377909,0.9995969097377909,2.4362589042019245,2.4362589042019245,1.995672594011908,1.995672594011908,2.9348635288024445,2.9348635288024445
nothing,nothing,0.0,5.2e-6,0.0,0.9577124514642303,0.9577124514642303,5.7032698213921,5.7032698213921,1.9948572661641264,1.9948572661641264,2.543650669500498,2.543650669500498,1.0004588427621455,1.0004588427621455,5.2207739615863655,5.2207739615863655,0.1739840379783172,0.1739840379783172,4.923145354901748,4.923145354901748,0.9996409283230623,0.9996409283230623,2.3396063154332083,2.3396063154332083,1.9953489143908267,1.9953489143908267,2.8382109400337283,2.8382109400337283
nothing,nothing,0.0,6.6e-7,0.0,0.9577124552622898,0.9577124552622898,8.622791669437605,8.622791669437605,1.9970333834061182,1.9970333834061182,3.9397436183819536,3.9397436183819536,1.0001634690810708,1.0001634690810708,6.616866910467821,6.616866910467821,0.17396787378652478,0.17396787378652478,6.319238303783203,6.319238303783203,0.9993880291340962,0.9993880291340962,3.735699264314664,3.735699264314664,1.997208539726179,1.997208539726179,4.234303888915184,4.234303888915184
nothing,nothing,0.0,8.3e-6,0.0,0.9577124511328597,0.9577124511328597,5.42865373584289,5.42865373584289,1.9939668918961084,1.9939668918961084,2.3825630215526377,2.3825630215526377,1.0005796971093883,1.0005796971093883,5.0596863136385055,5.0596863136385055,0.173990648312044,0.173990648312044,4.762057706953888,4.762057706953888,0.9997444038921124,0.9997444038921124,2.1785186674853483,2.1785186674853483,1.9945880351333858,1.9945880351333858,2.677123292085868,2.677123292085868
nothing,nothing,0.0,1.05e-5,0.0,0.9577124470759266,0.9577124470759266,5.316659466317235,5.316659466317235,1.9934341114740444,1.9934341114740444,2.3135254581464118,2.3135254581464118,1.0006520145423974,1.0006520145423974,4.99064875023228,4.99064875023228,0.17399474010308702,0.17399474010308702,4.694554311623356,4.694554311623356,0.9998063209795837,0.9998063209795837,2.1094811040791224,2.1094811040791224,1.9941327424376745,1.9941327424376745,2.609619896755336,2.609619896755336
