;R_in_CGS;V_in_CGS;Bo;We;Coefficient of Restitution;Contact Time;Maximum Radius
;;;1E-06;1E-06;0.957697;7.5688;0.1952
;;;4E-06;1E-06;0.957686;7.5688;0.1952
;;;1.3e-05;1E-06;0.957972;7.5657;0.1952
;;;4.6e-05;1E-06;0.961489;7.5565;0.1952
;;;0.000167;1E-06;0.975259;7.5704;0.1952
;;;0.000599;1E-06;0.944911;7.8388;0.1952
;;;0.002154;1E-06;0.455124;7.9524;0.1953
;;;0.007743;1E-06;0.801496;8.0536;0.3425
;;;1E-06;1E-05;0.95774;5.3412;0.1953
;;;3E-06;1E-05;0.95779;5.3412;0.1953
;;;8E-06;1E-05;0.95794;5.3458;0.1953
;;;2.2e-05;1E-05;0.958429;5.355;0.1953
;;;6E-05;1E-05;0.960311;5.3811;0.1953
;;;0.000167;1E-05;0.967117;5.4547;0.1953
;;;0.000464;1E-05;0.98258;5.6603;0.1953
;;;0.001292;1E-05;0.975023;6.2433;0.1952
;;;0.003594;1E-05;0.891057;7.2436;0.1953
;;;0.01;1E-05;0.772717;7.5182;0.3427
;;;1E-06;2.8e-05;0.957732;4.9561;0.1953
;;;3E-06;2.8e-05;0.957769;4.9577;0.1953
;;;8E-06;2.8e-05;0.957873;4.9607;0.1953
;;;2.2e-05;2.8e-05;0.958189;4.9669;0.1953
;;;6E-05;2.8e-05;0.959267;4.9868;0.1953
;;;0.000167;2.8e-05;0.963354;5.0359;0.1953
;;;0.000464;2.8e-05;0.974973;5.1571;0.1953
;;;0.001292;2.8e-05;0.988348;5.5115;0.1952
;;;0.003594;2.8e-05;0.943574;6.5164;0.1952
;;;0.01;2.8e-05;0.894731;7.2236;0.3428
;;;1E-06;7.7e-05;0.957726;4.7015;0.1953
;;;3E-06;7.7e-05;0.95775;4.7015;0.1953
;;;8E-06;7.7e-05;0.957817;4.703;0.1953
;;;2.2e-05;7.7e-05;0.958015;4.7091;0.1953
;;;6E-05;7.7e-05;0.958637;4.7214;0.1954
;;;0.000167;7.7e-05;0.960877;4.7582;0.1954
;;;0.000464;7.7e-05;0.968533;4.8503;0.1954
;;;0.001292;7.7e-05;0.985111;5.0559;0.1953
;;;0.003594;7.7e-05;0.974468;5.7094;0.1952
;;;0.01;7.7e-05;0.9288;6.7281;0.3428
;;;1E-06;0.000215;0.957721;4.5388;0.1954
;;;3E-06;0.000215;0.957735;4.5388;0.1954
;;;8E-06;0.000215;0.957778;4.5404;0.1954
;;;2.2e-05;0.000215;0.9579;4.5434;0.1954
;;;6E-05;0.000215;0.958264;4.5511;0.1954
;;;0.000167;0.000215;0.959473;4.5741;0.1955
;;;0.000464;0.000215;0.963901;4.634;0.1956
;;;0.001292;0.000215;0.976188;4.7874;0.1955
;;;0.003594;0.000215;0.986414;5.1387;0.3427
;;;0.01;0.000215;0.952438;5.8337;0.343
;;;1E-06;0.000599;0.969408;4.3471;0.3423
;;;3E-06;0.000599;0.969419;4.3471;0.3423
;;;8E-06;0.000599;0.96945;4.3486;0.3423
;;;2.2e-05;0.000599;0.969535;4.3501;0.3423
;;;6E-05;0.000599;0.969773;4.3532;0.3423
;;;0.000167;0.000599;0.970448;4.3655;0.3423
;;;0.000464;0.000599;0.972408;4.3931;0.3422
;;;0.001292;0.000599;0.977563;4.4637;0.3421
;;;0.003594;0.000599;0.985784;4.6386;0.3422
;;;0.01;0.000599;0.981307;5.0482;0.3425
;;;1E-06;0.001668;0.967501;3.896;0.3431
;;;3E-06;0.001668;0.967495;3.896;0.3431
;;;8E-06;0.001668;0.967478;3.896;0.3431
;;;2.2e-05;0.001668;0.967429;3.8976;0.3431
;;;6E-05;0.001668;0.967296;3.9006;0.3431
;;;0.000167;0.001668;0.966921;3.9098;0.3431
;;;0.000464;0.001668;0.965852;3.9374;0.3431
;;;0.001292;0.001668;0.962811;4.0525;0.3431
;;;0.003594;0.001668;0.961069;4.2811;0.3432
;;;0.01;0.001668;0.975608;4.5496;0.4818
;;;1E-06;0.004642;0.969252;3.672;0.482
;;;3E-06;0.004642;0.96925;3.672;0.482
;;;8E-06;0.004642;0.969246;3.6736;0.482
;;;2.2e-05;0.004642;0.969235;3.6736;0.482
;;;6E-05;0.004642;0.969203;3.6736;0.482
;;;0.000167;0.004642;0.969115;3.6766;0.4819
;;;0.000464;0.004642;0.96886;3.6843;0.4819
;;;0.001292;0.004642;0.968105;3.7058;0.4817
;;;0.003594;0.004642;0.965798;3.7687;0.4809
;;;0.01;0.004642;0.957886;4.0111;0.4814
;;;1E-06;0.012915;0.969731;3.4342;0.6165
;;;3E-06;0.012915;0.969731;3.4342;0.6165
;;;8E-06;0.012915;0.96973;3.4342;0.6164
;;;2.2e-05;0.012915;0.969729;3.4342;0.6164
;;;6E-05;0.012915;0.969725;3.4358;0.6165
;;;0.000167;0.012915;0.969712;3.4358;0.6164
;;;0.000464;0.012915;0.969675;3.4388;0.6163
;;;0.001292;0.012915;0.969547;3.448;0.6161
;;;0.003594;0.012915;0.968998;3.4711;0.6156
;;;0.01;0.012915;0.966369;3.5263;0.6144
;;;1E-06;0.035938;0.975329;3.0737;0.7484
;;;3E-06;0.035938;0.975328;3.0737;0.7484
;;;8E-06;0.035938;0.975327;3.0737;0.7484
;;;2.2e-05;0.035938;0.975323;3.0737;0.7484
;;;6E-05;0.035938;0.975311;3.0737;0.7485
;;;0.000167;0.035938;0.975278;3.0737;0.7485
;;;0.000464;0.035938;0.975184;3.0752;0.7484
;;;0.001292;0.035938;0.974918;3.0783;0.7482
;;;0.003594;0.035938;0.974127;3.089;0.7476
;;;0.01;0.035938;0.971552;3.1259;0.7459
;;;1E-06;0.1;0.97296;2.8267;0.9787
;;;3E-06;0.1;0.97296;2.8267;0.9787
;;;8E-06;0.1;0.97296;2.8267;0.9787
;;;2.2e-05;0.1;0.97296;2.8267;0.9787
;;;6E-05;0.1;0.97296;2.8282;0.9957
;;;0.000167;0.1;0.972957;2.8282;0.9948
;;;0.000464;0.1;0.972953;2.8298;0.9967
;;;0.001292;0.1;0.972943;2.8298;0.9976
;;;0.003594;0.1;0.972925;2.8328;0.9995
;;;0.01;0.1;0.972911;2.8405;1.0036
;;;1E-06;0.3;0.945898;2.5613;1.258
;;;3E-06;0.3;0.945898;2.5613;1.258
;;;8E-06;0.3;0.945898;2.5613;1.258
;;;2.2e-05;0.3;0.945899;2.5613;1.258
;;;6E-05;0.3;0.9459;2.5613;1.258
;;;0.000167;0.3;0.945904;2.5613;1.258
;;;0.000464;0.3;0.945913;2.5613;1.2585
;;;0.001292;0.3;0.945941;2.5613;1.2584
;;;0.003594;0.3;0.946014;2.5613;1.2593
;;;0.01;0.3;0.946214;2.5659;1.261
;;;0.1;0.3;0.946718;2.6211;1.3554
;;;0.644444;0.3;0.913862;2.6303;1.7561
;;;1.188889;0.3;0.822813;2.595;1.9326
;;;1E-06;0.5;0.9222235336463926;2.446230996693935;1.4176243407821842
;;;2.782559402207126e-06;0.5;0.9222235776244133;2.446230996693935;1.4176241987762077
;;;7.742636826811277e-06;0.5;0.9222236999774442;2.446230996693935;1.4176238036361297
;;;2.1544346900318823e-05;0.5;0.9222235141012058;2.446230996693935;1.4176227041354061
;;;5.994842503189409e-05;0.5;0.9222244742477631;2.446230996693935;1.4176196447093146
;;;0.0001668100537200059;0.5;0.9222271391692483;2.446230996693935;1.4176111316744757
;;;0.00046415888336127773;0.5;0.9222317852060172;2.446230996693935;1.4175874436493592
;;;0.0012915496650148827;0.5;0.9222522622969095;2.446230996693935;1.4175215303123427
;;;0.003593813663804626;0.5;0.9223002054048813;2.446230996693935;1.4182155696300005
;;;0.01;0.5;0.9224146019848378;2.4477651647696286;1.4194757504601254
;;;0.1;0.5;0.9226087792870064;2.4677093497536493;1.4918366452220246
;;;0.35789473684210527;0.5;0.914017520681105;2.5229394004786303;1.6225060355270595
;;;0.6157894736842106;0.5;0.8976761448216155;2.5137343920244666;1.88197519747921
;;;0.8736842105263158;0.5;0.8725432243609094;2.4983927112675275;1.873549399139767
;;;1.1315789473684212;0.5;0.8353306248786828;2.493790207040446;1.9619417725949553
;;;1E-06;0.6;0.9111816419036107;2.410945130952975;1.4926557015032385
;;;2.782559402207126e-06;0.6;0.9111817510166952;2.410945130952975;1.4926554678359216
;;;7.742636826811277e-06;0.6;0.9111820546151205;2.410945130952975;1.4926548176427032
;;;2.1544346900318823e-05;0.6;0.9111828992782743;2.410945130952975;1.4926530084414806
;;;5.994842503189409e-05;0.6;0.91118524869356;2.410945130952975;1.4926479742315826
;;;0.0001668100537200059;0.6;0.9111917433807074;2.410945130952975;1.492633972813361
;;;0.00046415888336127773;0.6;0.9112097591257216;2.410945130952975;1.4925950149556058
;;;0.0012915496650148827;0.6;0.9112595646235013;2.410945130952975;1.4938541966070211
;;;0.003593813663804626;0.6;0.9113787264198587;2.410945130952975;1.4956336604774778
;;;0.01;0.6;0.9116879663172002;2.4124792990286688;1.5005201786882636
;;;0.1;0.6;0.9130130165820626;2.4216843074828325;1.544085769754835
;;;0.35789473684210527;0.6;0.9041238996273673;2.4784485262835068;1.6691750098341787
;;;0.6157894736842106;0.6;0.8868749812296001;2.4830510305105884;1.926917403392018
;;;0.8736842105263158;0.6;0.8649715935183528;2.466175181677956;1.9505887066729768
;;;1.1315789473684212;0.6;0.830531214573053;2.4569701732237923;2.0842106208534243
