R_in_CGS,V_in_CGS,Bo,We,Coefficient of Restitution,Contact Time,Maximum Radius
0.02,20,0.0054444444444444445,0.1111111111111111,0.9414234140279254,2.8144313348604726,0.49648487348268444
0.02,20,0.0054444444444444445,0.1111111111111111,0.9414234140279254,2.8144313348604726,0.49648487348268444
0.02,10.0,0.0054444444444444445,0.027777777777777776,0.953155581936647,3.2286567152978276,0.372028702581388
0.02,10.816326530612244,0.0054444444444444445,0.03249803322689619,0.9537948025255634,3.168824160345765,0.372720363152098
0.02,11.63265306122449,0.0054444444444444445,0.03758850478967097,0.9537482450910788,3.1151282776964786,0.3728162255920124
0.02,12.448979591836736,0.0054444444444444445,0.043049192466102094,0.9530432390470309,3.070637403501355,0.3730821087828943
0.02,13.26530612244898,0.0054444444444444445,0.048880096256189554,0.9516310732918494,3.043022378138865,0.4331577987574331
0.02,20,0.0054444444444444445,0.1111111111111111,0.9414234140279254,2.8144313348604726,0.49648487348268444
0.02,1.0,0.0054444444444444445,0.0002777777777777778,0.9620268545934111,5.177050171429089,0.17108677956631024
0.02,1.183673469387755,0.0054444444444444445,0.0003891896894812347,0.9700382270783361,4.9730058173618,0.17114513109570414
0.02,1.3673469387755102,0.0054444444444444445,0.0005193437919385441,0.9737032802739809,4.822657345943798,0.17118401482377169
0.02,1.5510204081632653,0.0054444444444444445,0.0006682400851497061,0.9731137460353676,4.707594740266754,0.17120391583884362
0.02,1.7346938775510203,0.0054444444444444445,0.0008358785691147207,0.9701044618950329,4.61554465572512,0.17128751606483317
0.02,1.9183673469387754,0.0054444444444444445,0.0010222592438335878,0.966051115328808,4.537302083864731,0.17138287676907704
0.02,2.1020408163265305,0.0054444444444444445,0.0012273821093063074,0.9617366807330986,4.4697986885341985,0.17147700461415794
0.02,2.2857142857142856,0.0054444444444444445,0.0014512471655328796,0.9575722328494467,4.408431965506442,0.1715746489410519
0.02,2.4693877551020407,0.0054444444444444445,0.0016938544125133044,0.9537658164973363,4.351667746705768,0.17166062399336168
